#NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,T-type,log_RE,DA
NGC3184,154.570770,41.424381,0,2,0,592,11.3,-23.05,0.07,6.0,2.09,303.434911954
NGC3198,154.979126,45.549690,0,19,0,663,14.5,-23.03,0.05,5.2,1.89,236.711173742
NGC3246,156.674026,3.862108,0,0,0,2154,31.8,-21.80,0.16,7.9,1.45,108.069630943
NGC3254,157.333008,29.491440,0,1,0,1355,37.8,-24.09,0.09,4.0,1.62,90.9244740013
NGC3277,158.231079,28.511728,0,0,0,1408,23.9,-22.98,0.12,1.9,1.33,143.754927019
NGC3279,158.678299,11.197244,0,0,0,1394,22.9,-22.39,0.16,6.5,1.23,150.024633863
NGC3294,159.067780,37.324589,0,1,0,1586,29.5,-23.97,0.08,5.1,1.61,116.489183455
NGC3310,159.691071,53.503304,0,2,0,993,20.2,-22.92,0.10,4.0,1.20,170.046660978
NGC3320,159.902176,47.397964,0,0,0,2331,36.5,-22.72,0.09,5.8,1.31,94.1612882849
NGC3344,160.879791,24.922220,0,0,0,586,6.8,-21.72,0.14,4.0,1.96,501.953167442
NGC3359,161.653519,63.223640,0,1,0,1014,13.0,-21.95,0.04,5.2,1.88,263.9223213
NGC3370,161.766830,17.273697,0,13,0,1279,27.7,-22.80,0.13,5.1,1.38,124.052508277
NGC3380,162.050644,28.601772,0,0,0,1606,26.7,-22.22,0.11,1.0,1.30,128.694408224
NGC3423,162.809753,5.840101,0,0,0,1011,13.9,-22.18,0.13,6.0,1.80,246.894545894
NGC3437,163.148941,22.934116,0,1,0,1283,31.9,-23.65,0.08,5.3,1.32,107.731076773
NGC3445,163.647781,56.990685,0,0,0,2069,33.4,-22.01,0.03,8.9,1.49,102.895811732
NGC3448,163.663498,54.305229,0,0,0,1350,23.8,-22.42,0.05,0.2,1.44,144.358230999
NGC3471,164.787567,61.530453,0,0,0,2109,34.1,-23.08,0.05,1.0,1.26,100.784803751
NGC3485,165.009964,14.841549,0,0,0,1436,24.6,-22.50,0.09,3.1,1.59,139.668905342
NGC3486,165.099777,28.974819,0,0,0,681,8.6,-21.69,0.09,5.2,1.76,397.950876908
NGC3495,165.317368,3.628037,0,0,0,1130,17.2,-22.26,0.20,6.3,1.64,199.644254504
NGC3504,165.796631,27.972435,0,0,0,1534,26.1,-23.82,0.11,2.1,1.39,131.650041156
NGC3507,165.855820,18.135344,0,0,0,979,14.3,-22.41,0.11,3.1,1.75,240.011145631
NGC3521,166.452469,-0.035900,0,0,0,801,7.9,-23.72,0.25,4.0,1.78,432.855722352
NGC3547,167.483124,10.720738,0,0,0,1579,26.3,-21.66,0.10,3.2,1.33,130.64986756
NGC3556,167.879028,55.674122,0,2,0,699,11.9,-23.34,0.07,6.0,1.94,288.209145544
NGC3583,168.545746,48.318378,0,1,0,2136,31.6,-24.13,0.06,3.1,1.45,108.753161131
NGC3611,169.375656,4.555429,0,1,0,1585,39.3,-23.49,0.21,1.0,1.24,87.455601044
NGC3614,169.589142,45.748291,0,0,0,2333,36.7,-23.19,0.06,5.2,1.69,93.6484022687
NGC3629,170.132568,26.963408,0,0,0,1508,26.1,-21.60,0.08,5.9,1.54,131.650041156
NGC3633,170.109222,3.585485,0,0,0,2600,38.0,-23.05,0.27,1.0,1.05,90.4461455265
NGC3675,171.535767,43.585918,0,2,0,770,20.9,-24.75,0.09,3.0,1.76,164.360143315
NGC3679,171.535828,-5.585975,0,0,0,2765,39.5,-21.89,0.18,3.7,1.11,87.012977456
NGC3687,172.002365,29.511044,0,0,0,2507,38.4,-23.25,0.10,3.8,1.38,89.5044261224
NGC3705,172.531067,9.276630,0,2,0,1018,23.6,-23.96,0.20,2.4,1.57,145.580149896
NGC3835,176.020309,60.119682,0,0,0,2466,39.0,-23.41,0.08,2.0,1.26,88.1280428631
NGC3888,176.893051,55.967258,0,1,0,2408,41.5,-23.84,0.05,5.3,1.32,82.8212444067
NGC3976,178.990143,6.750834,0,0,0,2497,37.2,-23.20,0.05,3.2,1.36,92.3902973174
NGC4030,180.098511,-1.099963,0,3,0,1465,31.0,-25.14,0.12,4.0,1.61,110.85661596
NGC4045,180.676086,1.976771,0,0,0,1981,30.7,-23.69,0.10,1.3,1.36,111.93914351
NGC4062,181.015976,31.895815,0,0,0,769,9.8,-21.75,0.11,5.3,1.72,349.580521773
