NGC3495,165.3174,3.628037,False,0,False,1130,17.2,-22.26,0.2,6.3,1.64
NGC3504,165.7966,27.97243,False,0,False,1534,26.1,-23.82,0.11,2.1,1.39
NGC3507,165.8558,18.13534,False,0,False,979,14.3,-22.41,0.11,3.1,1.75
NGC3521,166.4525,-0.0359,False,0,False,801,7.9,-23.72,0.25,4,1.78
NGC3547,167.4831,10.72074,False,0,False,1579,26.3,-21.66,0.1,3.2,1.33
NGC3556,167.879,55.67412,False,2,False,699,11.9,-23.34,0.07,6,1.94
NGC3583,168.5457,48.31838,False,1,False,2136,31.6,-24.13,0.06,3.1,1.45
NGC3611,169.3757,4.555429,False,1,False,1585,39.3,-23.49,0.21,1,1.24
NGC3614,169.5891,45.74829,False,0,False,2333,36.7,-23.19,0.06,5.2,1.69
NGC3629,170.1326,26.96341,False,0,False,1508,26.1,-21.6,0.08,5.9,1.54
NGC3633,170.1092,3.585485,False,0,False,2600,38,-23.05,0.27,1,1.05
NGC3675,171.5358,43.58592,False,2,False,770,20.9,-24.75,0.09,3,1.76
NGC3687,172.0024,29.51104,False,0,False,2507,38.4,-23.25,0.1,3.8,1.38
NGC3705,172.5311,9.27663,False,2,False,1018,23.6,-23.96,0.2,2.4,1.57
NGC3835,176.0203,60.11968,False,0,False,2466,39,-23.41,0.08,2,1.26
NGC3888,176.8931,55.96726,False,1,False,2408,41.5,-23.84,0.05,5.3,1.32
NGC3976,178.9901,6.750834,False,0,False,2497,37.2,-23.2,0.05,3.2,1.36
NGC4030,180.0985,-1.099963,False,3,False,1465,31,-25.14,0.12,4,1.61
NGC4045,180.6761,1.976771,False,0,False,1981,30.7,-23.69,0.1,1.3,1.36
NGC4062,181.016,31.89581,False,0,False,769,9.8,-21.75,0.11,5.3,1.72
NGC4067,181.0482,10.85435,False,0,False,2415,36.5,-22.91,0.11,3.1,1.2
NGC4096,181.5048,47.47836,False,0,False,566,9.6,-22.12,0.08,5.3,1.77
NGC4158,182.7924,20.17577,False,0,False,2458,37.6,-23.14,0.14,3.1,1.29
NGC4162,182.9686,24.12368,False,1,False,2569,26.8,-22.79,0.16,4,1.36
NGC4257,184.777,5.725926,False,0,False,2756,40.5,-22.34,0.09,1.7,1.05
NGC4348,185.9748,-3.442911,False,0,False,2005,30.6,-23.53,0.16,4.2,1.29
NGC4388,186.4451,12.66207,False,0,False,2524,38,-24.91,0.14,2.8,1.61
NGC4414,186.6129,31.22355,False,24,False,716,17.9,-24.33,0.08,5.2,1.52
NGC4454,187.2114,-1.93914,False,0,False,2407,35.6,-23.72,0.11,0.1,1.54
NGC4470,187.4075,7.824057,False,0,False,2341,35.5,-22.64,0.1,1.4,1.34
NGC4480,187.6116,4.246471,False,0,False,2439,36.4,-23.07,0.1,5,1.47
NGC4525,188.4633,30.27752,False,0,False,1172,23,-21.83,0.1,5.9,1.62
NGC4559,188.9904,27.95976,False,0,False,816,9,-22.2,0.08,6,1.98
NGC4591,189.8018,6.012214,False,0,False,2422,36.4,-22.58,0.09,2.3,1.22
NGC4602,190.1535,-5.13301,False,1,False,2539,34.5,-24.16,0.1,4.2,1.59
NGC4604,190.1872,-5.302535,False,0,False,2658,38.5,-21.54,0.1,10,1.1
NGC4651,190.9276,16.3934,False,2,False,805,24.1,-23.9,0.12,5.2,1.56
NGC4691,192.057,-3.332918,False,0,False,1110,16,-22.5,0.12,0.3,1.42
NGC4725,192.6109,25.50076,True,21,False,1206,12.9,-24.38,0.05,2.2,2.02
NGC4736,192.7215,41.12015,True,4,False,308,5.1,-23.42,0.08,2.4,1.66
NGC4747,192.9415,25.77732,False,0,False,1190,24.3,-21.64,0.05,7.2,1.42
NGC4771,193.3386,1.269171,False,0,False,1134,18.6,-22.35,0.09,6.3,1.52
NGC4772,193.3716,2.168344,False,1,False,1040,28.3,-23.91,0.12,1.1,1.47
NGC4779,193.4619,9.70992,False,0,False,2831,41.9,-23.25,0.09,4.6,1.39
NGC4791,193.6831,8.053164,False,0,False,2529,37.9,-21.56,0.14,0,1.03
