NGC3433,163.015945,10.148239,0,0,0,2720,39.8,-23.33,0.13,5.3,1.67,86.3573776729
NGC3501,165.697113,17.989532,0,0,0,1130,19.4,-22.04,0.10,5.9,1.22,177.04674654
NGC3512,166.012451,28.036831,0,0,0,1376,24.2,-22.27,0.12,5.1,1.42,141.974879487
NGC3524,166.633789,11.385305,0,0,0,1365,23.7,-22.27,0.07,0.1,1.14,144.966617141
NGC3596,168.775925,14.787126,0,0,0,1193,21.3,-22.96,0.10,5.2,1.70,161.278137936
NGC3623,169.733154,13.092210,0,0,0,807,7.4,-23.28,0.11,1.0,1.90,461.763103321
NGC3625,170.130234,57.781326,0,0,0,1940,31.8,-21.57,0.06,3.0,1.24,108.069630943
NGC3627,170.062607,12.991290,0,30,0,727,10.3,-24.18,0.14,3.1,1.90,332.719038532
NGC3628,170.070908,13.589490,0,0,0,843,8.0,-23.44,0.12,3.1,1.92,427.500980934
NGC3631,170.262268,53.169430,0,1,0,1156,24.3,-23.95,0.07,5.2,1.96,141.391280747
NGC3642,170.575058,59.074242,0,0,0,1588,27.2,-23.20,0.05,4.0,1.63,126.330851331
NGC3652,170.662735,37.765038,0,0,0,1997,32.1,-22.08,0.09,5.8,1.31,107.060290379
NGC3655,170.727524,16.590174,0,1,0,1473,24.0,-23.08,0.11,5.0,1.29,143.156641823
NGC3659,170.939575,17.818575,0,0,0,1285,24.0,-21.62,0.08,7.8,1.30,143.156641823
NGC3666,171.108673,11.342012,0,0,0,1060,15.6,-21.75,0.14,5.2,1.36,220.067283332
NGC3669,171.361725,57.721165,0,0,0,1940,31.8,-21.94,0.07,6.8,1.38,108.069630943
NGC3681,171.624176,16.863222,0,0,0,1239,23.4,-22.86,0.11,4.0,1.43,146.822918539
NGC3683,171.882874,56.876709,0,1,0,1716,33.3,-23.95,0.07,5.0,1.15,103.204622817
NGC3683A,172.298859,57.132183,0,0,0,2427,38.3,-23.30,0.06,5.1,1.51,89.7380131339
NGC3684,171.796555,17.030310,0,0,0,1163,21.6,-22.40,0.11,4.0,1.47,159.041381005
NGC3686,171.933090,17.224058,0,0,0,1156,21.4,-23.18,0.10,4.1,1.66,160.525599362
NGC3689,172.045853,25.661039,0,0,0,2739,41.2,-23.89,0.09,5.3,1.37,83.4240758426
NGC3701,172.370422,24.093496,0,0,0,2796,41.9,-22.63,0.07,4.0,1.37,82.0308896726
NGC3718,173.145584,53.067829,0,0,0,993,18.8,-23.61,0.06,1.0,1.74,182.686706652
NGC3726,173.338226,47.029091,0,7,0,866,14.7,-23.07,0.07,5.1,1.96,233.500577645
NGC3729,173.455505,53.125496,0,5,0,1060,20.9,-22.88,0.05,1.2,1.66,164.360143315
NGC3755,174.139008,36.410301,0,0,0,1570,27.0,-21.57,0.11,5.2,1.41,127.2657838
NGC3756,174.199890,54.293682,0,0,0,1318,23.6,-23.09,0.05,4.0,1.69,145.580149896
NGC3769,174.433777,47.893093,0,4,0,737,17.2,-21.99,0.10,3.4,1.46,199.644254504
NGC3780,174.843216,56.270725,0,0,0,2399,38.0,-23.86,0.06,5.2,1.63,90.4461455265
NGC3786,174.926971,31.909365,0,0,0,2678,40.8,-23.72,0.10,1.1,1.31,84.2416331463
NGC3788,174.935822,31.931305,0,0,0,2699,41.1,-23.73,0.10,2.2,1.21,83.6269741598
NGC3810,175.244736,11.471132,0,0,1,992,16.5,-23.15,0.19,5.2,1.59,208.093755535
NGC3813,175.327728,36.546700,0,0,0,1465,25.7,-23.20,0.08,3.3,1.43,133.697019356
NGC3877,176.532425,47.494499,0,0,0,895,16.8,-23.39,0.10,5.1,1.64,204.3866253
NGC3893,177.159195,48.710789,0,5,0,967,20.2,-23.64,0.09,5.2,1.69,170.046660978
NGC3898,177.314041,56.084351,0,0,0,1176,21.7,-24.03,0.09,1.7,1.50,158.309509525
NGC3900,177.289307,27.022076,0,0,0,1798,29.8,-23.68,0.14,-0.3,1.51,115.317357536
NGC3912,177.518539,26.478996,0,0,0,1779,29.6,-22.41,0.09,3.1,1.28,116.095938573
NGC3917,177.689529,51.824211,0,4,0,965,16.4,-22.21,0.09,5.8,1.73,209.359494348
NGC3938,178.206055,44.120731,0,0,0,809,14.5,-23.00,0.09,5.1,1.86,236.711173742
NGC3949,178.423950,47.858784,0,5,0,800,18.9,-22.79,0.09,4.0,1.52,181.7219147
NGC3953,178.454285,52.326542,0,7,0,1052,17.8,-24.22,0.13,4.0,1.89,192.929039505
